,Jobs,Application Links,Location,Post Date,Closed Date,Status
138,"ACQUISITION UTILIZATION SPECIALIST-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588824800,"Chillicothe, Ohio Chillicothe, Ohio",01/07/2021,02/10/2021,OPEN
139,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589043200,"Johnson City, Tennessee Johnson City, Tennessee",01/11/2021,02/01/2021,OPEN
140,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589063800,"San Francisco, California San Francisco, California",01/11/2021,02/01/2021,OPEN
141,"Business Manager-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589178600,"Coatesville, Pennsylvania Coatesville, Pennsylvania",01/12/2021,01/25/2021,OPEN
142,"Program Support Assistant (OA)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589309600,"Murfreesboro, Tennessee Murfreesboro, Tennessee",01/14/2021,02/04/2021,OPEN
143,"Registered Nurse (SDU)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589451500,"Fayetteville, Arkansas Fayetteville, Arkansas",01/14/2021,01/27/2021,OPEN
144,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589478400,"Miami, Florida Miami, Florida",01/14/2021,01/28/2021,OPEN
145,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589594000,"Clarksburg, West Virginia Clarksburg, West Virginia",01/15/2021,01/29/2021,OPEN
146,"Health Technician (2B)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589597500,"Madison, Wisconsin Madison, Wisconsin",01/15/2021,02/08/2021,OPEN
147,"Supervisory Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589928500,"Biloxi, Mississippi Biloxi, Mississippi",01/21/2021,02/11/2021,OPEN
148,"Emergency Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589963400,"Jackson, Mississippi Jackson, Mississippi",01/22/2021,02/11/2021,OPEN
149,"Budget Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588510400,"Minneapolis, Minnesota Minneapolis, Minnesota",01/05/2021,01/26/2021,OPEN
150,"Medical Administration Specialist (AOD)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589451900,"Madison, Wisconsin Madison, Wisconsin",01/14/2021,02/04/2021,OPEN
151,"Inventory Management Specialist (EX)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588807600,"Richmond, Virginia Richmond, Virginia",01/09/2021,01/29/2021,OPEN
152,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589251700,"Reno, Nevada Reno, Nevada",01/13/2021,01/25/2021,OPEN
153,"Auditor-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589625700,"White River Junction, Vermont White River Junction, Vermont",01/15/2021,01/27/2021,OPEN
154,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589739300,"Aurora, Colorado Aurora, Colorado",01/20/2021,01/26/2021,OPEN
155,"Patient Representative-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590115200,"Lubbock, Texas Lubbock, Texas",01/22/2021,02/12/2021,OPEN
156,"Recreation Assistant-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589990200,"Martinsburg, West Virginia Martinsburg, West Virginia",01/21/2021,02/05/2021,OPEN
157,Intelligence Research Specialist (Watch Officer)-Customs and Border Protection,https://www.usajobs.gov/GetJob/ViewDetails/590088900,"Washington, District of Columbia Washington, District of Columbia",01/22/2021,01/28/2021,OPEN
158,"Program Specialist (Clinic Manager)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588433900,"Burlington, Vermont Burlington, Vermont",01/04/2021,01/26/2021,OPEN
159,"Health System Specialist (Credentialing and Privileging Manager)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588431100,"Tomah, Wisconsin Tomah, Wisconsin",01/04/2021,01/25/2021,OPEN
160,"Training Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588472500,"Palo Alto, California Palo Alto, California",01/05/2021,01/26/2021,OPEN
161,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588587600,"McClellan, California McClellan, California",01/07/2021,01/28/2021,OPEN
162,"Health Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588626500,Multiple Locations,01/06/2021,01/28/2021,OPEN
163,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588780800,"Cheyenne, Wyoming Cheyenne, Wyoming",01/07/2021,01/27/2021,OPEN
164,"Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589142500,"North Chicago, Illinois North Chicago, Illinois",01/12/2021,02/02/2021,OPEN
165,"Vocational Rehabilitation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589528600,"Jackson, Mississippi Jackson, Mississippi",01/15/2021,01/29/2021,OPEN
166,"Veterans Outreach Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589764000,Multiple Locations,01/20/2021,01/27/2021,OPEN
167,"Human Resources Specialist (Classification)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589834600,"Location Negotiable After Selection, United States",01/20/2021,01/27/2021,OPEN
168,"Medical Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589844900,"Honolulu, Hawaii Honolulu, Hawaii",01/20/2021,02/03/2021,OPEN
169,"Health System Specialist (GHATP Trainee)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589970200,"West Haven, Connecticut West Haven, Connecticut",01/21/2021,02/10/2021,OPEN
170,"Surgical Technician (Recruitment Incentive)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590183900,"Iowa City, Iowa Iowa City, Iowa",01/21/2021,02/04/2021,OPEN
171,"Surgical Technician (Recruitment Incentive)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590184300,"Iowa City, Iowa Iowa City, Iowa",01/20/2021,02/04/2021,OPEN
172,"Supervisory Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589851300,"Danville, Illinois Danville, Illinois",01/20/2021,01/27/2021,OPEN
173,"Inventory Management Specialist (NX)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589686100,"Albuquerque, New Mexico Albuquerque, New Mexico",01/19/2021,02/08/2021,OPEN
174,"PEER SPECIALIST-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589456900,"Madison, Wisconsin Madison, Wisconsin",01/14/2021,02/08/2021,OPEN
175,"Acquisition & Utilization Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589459900,"Orlando, Florida Orlando, Florida",01/14/2021,02/03/2021,OPEN
176,"Program Support Assistant (OA)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589560800,"Cheyenne, Wyoming Cheyenne, Wyoming",01/15/2021,02/04/2021,OPEN
177,"Surgical Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589705700,"Lake City, Florida Lake City, Florida",01/19/2021,01/26/2021,OPEN
178,Budget Analyst-Veterans Benefits Administration,https://www.usajobs.gov/GetJob/ViewDetails/589848800,"Washington, District of Columbia Washington, District of Columbia",01/21/2021,02/01/2021,OPEN
179,Student Trainee (Human Resources)-Cybersecurity and Infrastructure Security Agency,https://www.usajobs.gov/GetJob/ViewDetails/586493700,"Arlington County, Virginia Arlington County, Virginia",12/14/2020,01/28/2021,OPEN
180,"Administrative Officer (Nursing)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589807000,"Syracuse, New York Syracuse, New York",01/21/2021,01/27/2021,OPEN
181,"Supervisory Mobility Transportation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588406800,"Prescott, Arizona Prescott, Arizona",01/05/2021,01/26/2021,OPEN
182,"RN - Specialty Clinic-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588517500,"Charleston, South Carolina Charleston, South Carolina",01/05/2021,06/30/2021,OPEN
183,"Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588576600,"Cincinnati, Ohio Cincinnati, Ohio",01/05/2021,01/25/2021,OPEN
184,"Logistics Management Spec-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588691300,"Wilkes Barre, Pennsylvania Wilkes Barre, Pennsylvania",01/06/2021,01/26/2021,OPEN
185,"Registered Nurse - Cancer Care Navigator/Charge Nurse-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589384700,"Pittsburgh, Pennsylvania Pittsburgh, Pennsylvania",01/13/2021,01/25/2021,OPEN
186,"Program Analyst - Rural Health-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589454400,"Detroit, Michigan Detroit, Michigan",01/14/2021,01/25/2021,OPEN
187,"Medical Surgical Telemetry Registered Nurse (RN)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589480800,"Salem, Virginia Salem, Virginia",01/14/2021,01/27/2021,OPEN
188,"Supervisory Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589482300,"Fayetteville, Arkansas Fayetteville, Arkansas",01/14/2021,01/25/2021,OPEN
189,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589630200,"Leeds, Massachusetts Leeds, Massachusetts",01/15/2021,02/01/2021,OPEN
190,"Supervisory Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589653200,"Mather AFB, California Mather AFB, California",01/16/2021,01/25/2021,OPEN
191,"Program Analyst (Infection Control)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589756700,"Birmingham, Alabama Birmingham, Alabama",01/20/2021,02/09/2021,OPEN
192,"Vocational Rehabilitation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589789800,"Palo Alto, California Palo Alto, California",01/20/2021,02/10/2021,OPEN
193,"Supervisory Social Services Assistant - Veterans Crisis Line-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589852400,"Atlanta, Georgia Atlanta, Georgia",01/21/2021,01/25/2021,OPEN
194,"Human Res Spec (Empl Ben)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589885700,"Location Negotiable After Selection, United States",01/21/2021,01/26/2021,OPEN
195,"Registered Nurse (Advice Call Center)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589901400,Multiple Locations,01/21/2021,02/04/2021,OPEN
196,"RN (Home Telehealth Care Coordinator)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589960100,"Columbia, Missouri Columbia, Missouri",01/21/2021,02/02/2021,OPEN
197,"Registered Nurse-Community Living Center-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590064500,"Wilkes Barre, Pennsylvania Wilkes Barre, Pennsylvania",01/22/2021,01/29/2021,OPEN
198,"Vocational Rehabilitation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/586735600,"Saint Cloud, Minnesota Saint Cloud, Minnesota",12/09/2020,02/26/2021,OPEN
199,"Visual Information Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589288600,"Durham, North Carolina Durham, North Carolina",01/13/2021,02/02/2021,OPEN
200,"Vocational Rehabilitation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589492000,"Vancouver, Washington Vancouver, Washington",01/14/2021,01/29/2021,OPEN
201,"Acquisition Utilization Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589819600,"Altoona, Pennsylvania Altoona, Pennsylvania",01/20/2021,02/09/2021,OPEN
202,"Asst Hospital Hskpg Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589927800,"Gainesville, Florida Gainesville, Florida",01/21/2021,02/10/2021,OPEN
203,"Vocational Rehabilitation Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589990600,"Los Angeles, California Los Angeles, California",01/21/2021,02/11/2021,OPEN
204,"Surgical Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590072600,"Baltimore, Maryland Baltimore, Maryland",01/22/2021,02/11/2021,OPEN
205,"Accountant-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589803200,"Gainesville, Florida Gainesville, Florida",01/20/2021,01/29/2021,OPEN
206,"Medical Care Transport Tech (Paramedic)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/574484400,"Battle Creek, Michigan Battle Creek, Michigan",07/24/2020,07/23/2021,OPEN
207,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588640500,"Iron Mountain, Michigan Iron Mountain, Michigan",01/06/2021,01/27/2021,OPEN
208,"Safety & Occupational Health Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589124200,"Richmond, Virginia Richmond, Virginia",01/12/2021,01/29/2021,OPEN
209,General Attorney-Customs and Border Protection,https://www.usajobs.gov/GetJob/ViewDetails/589127100,"Washington, District of Columbia Washington, District of Columbia",01/12/2021,02/01/2021,OPEN
210,"Occupational Therapist Clinical Specialist (Lymphedema Clinical Specialist)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589185200,"Battle Creek, Michigan Battle Creek, Michigan",01/12/2021,02/03/2021,OPEN
211,General Attorney-Customs and Border Protection,https://www.usajobs.gov/GetJob/ViewDetails/589340100,"Seattle, Washington Seattle, Washington",01/14/2021,02/10/2021,OPEN
212,General Attorney-Customs and Border Protection,https://www.usajobs.gov/GetJob/ViewDetails/589450200,"Miami, Florida Miami, Florida",01/14/2021,01/28/2021,OPEN
213,"Program Support Assistant (OA)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589480400,"Shreveport, Louisiana Shreveport, Louisiana",01/14/2021,02/04/2021,OPEN
214,"Health Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589611200,"Ann Arbor, Michigan Ann Arbor, Michigan",01/15/2021,02/08/2021,OPEN
215,"Health System Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589808100,"Grand Junction, Colorado Grand Junction, Colorado",01/20/2021,01/25/2021,OPEN
216,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589819500,"Danville, Illinois Danville, Illinois",01/20/2021,01/27/2021,OPEN
217,"Associate Chief of Staff (ACOS Research)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589867700,"Tampa, Florida Tampa, Florida",01/20/2021,01/29/2021,OPEN
218,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589953700,"Salt Lake City, Utah Salt Lake City, Utah",01/21/2021,02/10/2021,OPEN
219,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589979200,"Denver, Colorado Denver, Colorado",01/21/2021,01/27/2021,OPEN
220,"Health Technician - Podiatry-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590165800,"Augusta, Georgia Augusta, Georgia",01/22/2021,01/28/2021,OPEN
221,"Health Science Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589709400,"East Orange, New Jersey East Orange, New Jersey",01/19/2021,02/02/2021,OPEN
222,"Registered Nurse (PACT)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588723500,"Austin, Texas Austin, Texas",01/06/2021,07/06/2021,OPEN
223,"Registered Nurse (Primary Care)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589290900,Multiple Locations,01/13/2021,01/28/2021,OPEN
224,"Supervisory Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589301200,"Wilkes Barre, Pennsylvania Wilkes Barre, Pennsylvania",01/13/2021,01/28/2021,OPEN
225,"Nurse Manager - Specialty Care-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589355800,"Little Rock, Arkansas Little Rock, Arkansas",01/13/2021,01/29/2021,OPEN
226,"Registered Nurse-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589400300,"West Roxbury, Massachusetts West Roxbury, Massachusetts",01/14/2021,01/29/2021,OPEN
227,"Training Assistant-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589656600,"Loma Linda, California Loma Linda, California",01/19/2021,02/08/2021,OPEN
228,"Human Resources Specialist (Emp Rel/Lab Rel)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589692400,"Memphis, Tennessee Memphis, Tennessee",01/19/2021,01/28/2021,OPEN
229,"Program Analyst (Informatics)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589753400,"Asheville, North Carolina Asheville, North Carolina",01/20/2021,02/09/2021,OPEN
230,"RN (Care Coordinator St James CBOC)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589869000,"Saint James, Missouri Saint James, Missouri",01/20/2021,02/01/2021,OPEN
231,"Interior Designer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589938100,"Tucson, Arizona Tucson, Arizona",01/22/2021,02/11/2021,OPEN
232,"Registered Nurse-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589996700,"Boston, Massachusetts Boston, Massachusetts",01/22/2021,02/05/2021,OPEN
233,"Training Instructor-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590028000,"Hines, Illinois Hines, Illinois",01/19/2021,02/08/2021,OPEN
234,"Health Physicist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590119700,"San Antonio, Texas San Antonio, Texas",01/22/2021,02/11/2021,OPEN
235,"Health Physicist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590122200,"San Antonio, Texas San Antonio, Texas",01/22/2021,02/11/2021,OPEN
236,"Interfacility Surgery Nurse Coordinator (RN)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590168400,"West Roxbury, Massachusetts West Roxbury, Massachusetts",01/22/2021,02/08/2021,OPEN
237,"Safety and Occupational Health Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588585800,"Saint Cloud, Minnesota Saint Cloud, Minnesota",01/05/2021,01/26/2021,OPEN
238,"Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589257500,"Omaha, Nebraska Omaha, Nebraska",01/12/2021,02/01/2021,OPEN
239,"Health System Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589503200,"Houston, Texas Houston, Texas",01/15/2021,01/26/2021,OPEN
240,"Program Applications Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589756500,"Augusta, Georgia Augusta, Georgia",01/19/2021,01/25/2021,OPEN
241,"Health Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589836800,"Hines, Illinois Hines, Illinois",01/20/2021,01/29/2021,OPEN
242,"Peer Support Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588254300,"Temple, Texas Temple, Texas",01/04/2021,01/25/2021,OPEN
243,"Inventory Mgt Specialist EX-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588664600,"Wilkes Barre, Pennsylvania Wilkes Barre, Pennsylvania",01/06/2021,01/26/2021,OPEN
244,"General Engineer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588950800,"Fayetteville, Arkansas Fayetteville, Arkansas",01/11/2021,02/01/2021,OPEN
245,"PEER SUPPORT APPRENTICE / PEER SPECIALIST (Female)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589252500,"Sheridan, Wyoming Sheridan, Wyoming",01/12/2021,02/01/2021,OPEN
246,"Inventory Management Specialist (Expendables)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589402500,"Loma Linda, California Loma Linda, California",01/21/2021,02/04/2021,OPEN
247,"Inventory Management Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589646400,"Brick, New Jersey Brick, New Jersey",01/16/2021,01/30/2021,OPEN
248,"PEER SPECIALIST-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589901300,"Long Beach, California Long Beach, California",01/21/2021,02/11/2021,OPEN
249,"Management & Program  Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588692500,"Nashville, Tennessee Nashville, Tennessee",01/06/2021,01/26/2021,OPEN
250,"Training Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589709600,"Milwaukee, Wisconsin Milwaukee, Wisconsin",01/19/2021,02/08/2021,OPEN
251,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588441600,"Location Negotiable After Selection, United States",01/04/2021,01/25/2021,OPEN
252,"Voluntary Services Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588489000,"Fayetteville, Arkansas Fayetteville, Arkansas",01/04/2021,01/26/2021,OPEN
253,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588641200,"Salem, Virginia Salem, Virginia",01/07/2021,01/28/2021,OPEN
254,"Social Worker- HUD/VASH Charlotte Supervisor-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588686600,"Charlotte, North Carolina Charlotte, North Carolina",01/06/2021,01/27/2021,OPEN
255,"Budget Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/588991900,"Iron Mountain, Michigan Iron Mountain, Michigan",01/08/2021,01/29/2021,OPEN
256,"Supervisory, Medical Administrative Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589036000,"Decatur, Georgia Decatur, Georgia",01/11/2021,01/29/2021,OPEN
257,"Intermediate Care Technician-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589098600,"Salt Lake City, Utah Salt Lake City, Utah",01/11/2021,01/29/2021,OPEN
258,"Hlth Sys Spec/Qa/Hsro Co-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589218900,"Fayetteville, North Carolina Fayetteville, North Carolina",01/12/2021,02/02/2021,OPEN
259,"Medical Administration Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589379100,"Tuskegee, Alabama Tuskegee, Alabama",01/13/2021,02/04/2021,OPEN
260,"Public Affairs Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589891800,"Martinsburg, West Virginia Martinsburg, West Virginia",01/20/2021,02/03/2021,OPEN
261,"Health System Specialist (Risk Management Coordinator)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589913100,"Battle Creek, Michigan Battle Creek, Michigan",01/20/2021,02/10/2021,OPEN
262,"Administrative Officer-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589926100,"Port Richey, Florida Port Richey, Florida",01/21/2021,02/10/2021,OPEN
263,"Hlth Sys Spec/Qa/Hsro Co-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590014000,"Wilmington, North Carolina Wilmington, North Carolina",01/21/2021,02/11/2021,OPEN
264,"Health System Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590036200,"Saginaw, Michigan Saginaw, Michigan",01/21/2021,02/10/2021,OPEN
265,"Program Analyst-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590045400,"Location Negotiable After Selection, United States",01/22/2021,01/27/2021,OPEN
266,"Budget Analyst (GS-11 Target 12)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/590155100,"Columbia, South Carolina Columbia, South Carolina",01/22/2021,02/12/2021,OPEN
267,"Registered Nurse-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/582728400,Multiple Locations,10/26/2020,09/30/2021,OPEN
268,"Primary Care Registered Nurse (NTE 30 Sep 2021) (COVID RESPONSE)-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/586494100,"Salem, Virginia Salem, Virginia",12/08/2020,05/07/2021,OPEN
269,"Nurse Executive, Director of Quality Safety and Value-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589041000,"Houston, Texas Houston, Texas",01/12/2021,01/26/2021,OPEN
270,"Assistant Nurse Manager - Ambulatory Care-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589137400,"Little Rock, Arkansas Little Rock, Arkansas",01/12/2021,01/27/2021,OPEN
271,"Nurse Executive and Director of Quality Safety and Value-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589307300,"Houston, Texas Houston, Texas",01/13/2021,01/27/2021,OPEN
272,"Program Specialist-Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/589332700,"Philadelphia, Pennsylvania Philadelphia, Pennsylvania",01/13/2021,02/02/2021,OPEN
